;ID;KIDSDRIV;AGE;HOMEKIDS;YOJ;INCOME;PARENT1;HOME_VAL;MSTATUS;GENDER;EDUCATION;OCCUPATION;TRAVTIME;CAR_USE;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG;URBANICITY;OG_DATA
32;483050926;0;32;1;9;31275;FAŁSZ;118160;PRAWDA;F;High School;Clerical;26;Private;10030;1;SUV;FAŁSZ;0;0;FAŁSZ;0;4486;1;PRAWDA;Highly Urban/ Urban;1
33;146989842;1;44;2;17;45488;FAŁSZ;219378;PRAWDA;M;Bachelors;Manager;16;Private;22090;17;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;12;FAŁSZ;Highly Urban/ Urban;1
34;742435591;0;35;0;8;72193;FAŁSZ;0;FAŁSZ;F;Bachelors;Clerical;26;Private;12220;6;SUV;FAŁSZ;0;0;FAŁSZ;3;0;12;FAŁSZ;Highly Urban/ Urban;1
35;915517588;0;40;2;0;71327,2;FAŁSZ;98777;PRAWDA;F;Masters;Home Maker;15;Private;14130;6;SUV;FAŁSZ;38127;2;PRAWDA;4;0;12;FAŁSZ;Highly Rural/ Rural;0
36;756785495;0;54;0;12;33212;FAŁSZ;158432;PRAWDA;M;<High School;Blue Collar;27;Commercial;24000;4;Panel Truck;FAŁSZ;0;0;FAŁSZ;5;4901;6,2;PRAWDA;Highly Urban/ Urban;0
37;66662029;0;49;0;5;49244;FAŁSZ;163444;PRAWDA;M;Bachelors;Clerical;30;Private;15880;1;Minivan;FAŁSZ;0;0;FAŁSZ;1;0;1;FAŁSZ;Highly Urban/ Urban;1
38;294816298;2;36;2;12;130540;PRAWDA;344195;FAŁSZ;F;Bachelors;Blue Collar;5;Commercial;27200;4;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;9;FAŁSZ;Highly Rural/ Rural;1
39;686791659;0;52;0;8;51278;FAŁSZ;230340;PRAWDA;F;Bachelors;Professional;37;Private;1500;4;SUV;FAŁSZ;0;0;FAŁSZ;1;0;10;FAŁSZ;Highly Urban/ Urban;1
40;269341556;0;41;0;7;92842;FAŁSZ;286113;FAŁSZ;M;Masters;Lawyer;12;Commercial;25810;6;Panel Truck;FAŁSZ;1431;2;FAŁSZ;5;0;15;FAŁSZ;Highly Urban/ Urban;0
41;396972296;0;39;0;10;35081;FAŁSZ;202839;PRAWDA;M;Bachelors;Blue Collar;38;Commercial;16640;4;Van;PRAWDA;0;0;FAŁSZ;0;0;13;FAŁSZ;Highly Urban/ Urban;1
42;364483168;0;56;0;0;0;FAŁSZ;63827;PRAWDA;F;PhD;Home Maker;65;Private;13220;1;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;12;FAŁSZ;Highly Rural/ Rural;1
43;866093378;0;49;0;12;115044;FAŁSZ;311980;FAŁSZ;F;PhD;Doctor;18;Private;17900;1;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;14;FAŁSZ;Highly Urban/ Urban;1
44;515421877;0;38;0;11;37754;FAŁSZ;138823;PRAWDA;F;High School;Clerical;47;Private;12080;1;SUV;FAŁSZ;0;0;FAŁSZ;2;0;9;FAŁSZ;Highly Rural/ Rural;1
45;173737852;0;43;2;17;145353;FAŁSZ;418785;PRAWDA;F;Masters;Doctor;38;Commercial;29450;6;Van;FAŁSZ;0;0;FAŁSZ;0;0;15;FAŁSZ;Highly Urban/ Urban;0
46;745183922;0;50;0;8;167469;FAŁSZ;0;FAŁSZ;F;PhD;Doctor;22;Private;34150;4;Sports Car;FAŁSZ;0;0;FAŁSZ;3;0;1;FAŁSZ;Highly Urban/ Urban;1
47;298271736;0;63;0;15;121398;FAŁSZ;343410;PRAWDA;F;PhD;Doctor;10;Private;16270;1;SUV;FAŁSZ;0;0;FAŁSZ;0;0;11;FAŁSZ;Highly Urban/ Urban;1
48;70821537;0;52;0;0;0;FAŁSZ;87925;FAŁSZ;F;High School;Student;48;Commercial;9280;1;SUV;FAŁSZ;0;0;FAŁSZ;1;0;6;FAŁSZ;Highly Rural/ Rural;1
49;258951025;0;35;0;7;14508;FAŁSZ;0;PRAWDA;M;Bachelors;Student;22;Commercial;6450;1;Pickup;FAŁSZ;0;0;FAŁSZ;0;0;7;FAŁSZ;Highly Urban/ Urban;1
50;807174588;0;43;0;13;75338;FAŁSZ;270555;PRAWDA;F;Bachelors;Manager;40;Private;23080;1;Sports Car;FAŁSZ;0;0;FAŁSZ;0;0;8;FAŁSZ;Highly Urban/ Urban;1
51;514538041;0;41;0;10;32774;FAŁSZ;0;FAŁSZ;F;High School;Clerical;44;Private;20120;4;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Rural/ Rural;1
52;25561360;0;40;0;11;57474;FAŁSZ;186418;PRAWDA;M;Bachelors;Clerical;5;Commercial;29270;4;Panel Truck;PRAWDA;0;0;FAŁSZ;1;0;5;FAŁSZ;Highly Urban/ Urban;1
53;753037176;0;31;1;12;26520;FAŁSZ;154493;PRAWDA;M;Bachelors;Student;62;Commercial;4600;6;Minivan;PRAWDA;0;0;FAŁSZ;2;0;5;FAŁSZ;Highly Urban/ Urban;1
54;883748009;0;47;0;8;18444;FAŁSZ;0;PRAWDA;F;High School;Student;35;Commercial;19450;6;SUV;FAŁSZ;2981;2;FAŁSZ;5;0;9,4;FAŁSZ;Highly Urban/ Urban;0
55;31827166;0;53;0;6,8;107259;FAŁSZ;343700;PRAWDA;M;Masters;Professional;36;Private;29230;10;Minivan;PRAWDA;0;0;FAŁSZ;0;0;15;FAŁSZ;Highly Urban/ Urban;0
56;680782638;0;39;3;7;34046;FAŁSZ;183383;PRAWDA;F;High School;Clerical;33;Private;4040;6;SUV;FAŁSZ;0;0;FAŁSZ;0;0;5;FAŁSZ;Highly Rural/ Rural;1
57;883604551;0;33;3;14;32364;FAŁSZ;152894;PRAWDA;M;<High School;Clerical;40;Private;12270;18;Minivan;PRAWDA;0;0;FAŁSZ;3;0;1;FAŁSZ;Highly Urban/ Urban;1
58;714473703;0;59;0;5;106775;FAŁSZ;210587;FAŁSZ;M;Masters;Lawyer;10;Private;31930;1;Minivan;PRAWDA;0;0;FAŁSZ;0;0;10,6;FAŁSZ;Highly Urban/ Urban;0
59;213057541;0;42;0;11,2;52988;FAŁSZ;176275;PRAWDA;M;High School;Blue Collar;24;Commercial;23450;1;Minivan;FAŁSZ;0;0;FAŁSZ;2;0;11;FAŁSZ;Highly Rural/ Rural;0
60;885280620;0;40;0;11;16989;FAŁSZ;0;FAŁSZ;M;<High School;Blue Collar;20;Commercial;12230;4;Pickup;PRAWDA;26104;1;PRAWDA;13;6100;6;PRAWDA;Highly Urban/ Urban;1
61;931739722;0;41;2;7;17755;PRAWDA;148815;FAŁSZ;F;<High School;Clerical;29;Private;14480;1;Minivan;PRAWDA;0;0;PRAWDA;2;0;1;FAŁSZ;Highly Urban/ Urban;1
62;939401184;1;37;2;13;32859,2;PRAWDA;0;FAŁSZ;F;High School;Blue Collar;62;Commercial;9360;4;Sports Car;FAŁSZ;0;0;FAŁSZ;0;6195;11,4;PRAWDA;Highly Urban/ Urban;0
63;840809480;0;36;3;12;56048;FAŁSZ;137836;PRAWDA;M;Masters;Lawyer;15;Private;10700;6;Minivan;FAŁSZ;2045;2;FAŁSZ;2;0;16;FAŁSZ;Highly Urban/ Urban;1
64;800426023;0;44;2;15;16352;FAŁSZ;134164;PRAWDA;F;High School;Home Maker;37;Private;10520;1;SUV;FAŁSZ;7838;1;FAŁSZ;1;8841;1;PRAWDA;Highly Urban/ Urban;1
65;14827139;0;56;0;16;44760;FAŁSZ;164852;PRAWDA;M;Bachelors;Manager;30;Private;21770;13;Minivan;PRAWDA;0;0;FAŁSZ;0;0;6;FAŁSZ;Highly Urban/ Urban;1
66;212687745;1;45;1;14;63952;FAŁSZ;196368;PRAWDA;F;Masters;Lawyer;50;Private;32340;6;Van;FAŁSZ;27877;2;PRAWDA;0;2117;13;PRAWDA;Highly Urban/ Urban;1
67;224701093;0;34;3;12;22510;FAŁSZ;123888;PRAWDA;M;High School;Clerical;26;Private;14690;4;Minivan;PRAWDA;0;0;PRAWDA;0;1230;1;PRAWDA;Highly Rural/ Rural;1
68;401200262;0;48;0;12,8;63017,6;FAŁSZ;252896;PRAWDA;M;Bachelors;Professional;14;Commercial;28560;13;Panel Truck;PRAWDA;1554;5;FAŁSZ;1;0;10;FAŁSZ;Highly Urban/ Urban;0
69;926073051;1;44;2;5,4;24060;PRAWDA;0;FAŁSZ;M;Bachelors;Clerical;24;Private;14220;4;Minivan;FAŁSZ;0;0;FAŁSZ;0;3532;10;PRAWDA;Highly Urban/ Urban;0
70;45830738;0;33;4;12;20822;FAŁSZ;76022;PRAWDA;F;High School;Home Maker;46;Private;6880;13;SUV;FAŁSZ;7896;3;FAŁSZ;0;866;1;PRAWDA;Highly Urban/ Urban;1
71;997497927;0;32;3;14;54968;FAŁSZ;146784;PRAWDA;F;High School;Professional;20;Private;10040;4;SUV;FAŁSZ;0;0;PRAWDA;0;0;8;FAŁSZ;Highly Urban/ Urban;1
72;862203239;0;34;0;8;14194;FAŁSZ;87034;FAŁSZ;F;<High School;Clerical;13;Private;2920;4;Sports Car;FAŁSZ;24767;3;PRAWDA;2;7786;10;PRAWDA;Highly Urban/ Urban;1
73;116102677;1;38;4;12;2149;FAŁSZ;72889;PRAWDA;F;<High School;Home Maker;35;Private;22690;10;Pickup;FAŁSZ;0;0;FAŁSZ;2;0;1;FAŁSZ;Highly Urban/ Urban;1
74;635101571;0;35;2;12;41391,8;PRAWDA;0;FAŁSZ;F;<High School;Blue Collar;43;Private;9730;5;SUV;FAŁSZ;0;0;FAŁSZ;4;5426;4;PRAWDA;Highly Urban/ Urban;0
75;793404097;2;44;2;14;45576;FAŁSZ;156623;PRAWDA;F;<High School;Blue Collar;27;Private;1500;4;Sports Car;FAŁSZ;25276;1;FAŁSZ;8;0;6;FAŁSZ;Highly Urban/ Urban;0
76;62434528;2;43;3;11;137103;PRAWDA;0;FAŁSZ;F;Masters;Manager;29;Private;19510;1;Sports Car;FAŁSZ;8890;3;FAŁSZ;0;4148;15;PRAWDA;Highly Urban/ Urban;1
77;935079846;0;49;0;9;32164,4;FAŁSZ;0;FAŁSZ;M;PhD;Clerical;31;Commercial;33710;3;Panel Truck;FAŁSZ;34351;2;PRAWDA;2;0;18;FAŁSZ;Highly Urban/ Urban;0
78;948288985;0;46;0;10;79538;FAŁSZ;0;FAŁSZ;F;Bachelors;Manager;13;Private;14050;3;Minivan;FAŁSZ;0;0;PRAWDA;2;0;11;FAŁSZ;Highly Urban/ Urban;1
79;396323054;0;45;1;11;185836;FAŁSZ;509115;PRAWDA;F;PhD;Lawyer;28;Private;10250;1;SUV;FAŁSZ;4307;3;FAŁSZ;6;0;20;FAŁSZ;Highly Urban/ Urban;1
80;299024508;0;46;0;14;73351,2;FAŁSZ;397661;FAŁSZ;M;Masters;Professional;22;Commercial;33320;4;Panel Truck;PRAWDA;0;0;PRAWDA;1;0;12;FAŁSZ;Highly Urban/ Urban;0
81;39392545;0;45;0;11;61931;FAŁSZ;213530;PRAWDA;M;Masters;Blue Collar;30;Commercial;10910;13;Pickup;PRAWDA;25106;2;FAŁSZ;0;0;6,4;FAŁSZ;Highly Urban/ Urban;0
82;536604822;0;48;0;9;61509;FAŁSZ;195438;PRAWDA;M;Masters;Blue Collar;40;Commercial;23230;6;Panel Truck;PRAWDA;0;0;FAŁSZ;1;0;17;FAŁSZ;Highly Urban/ Urban;0
83;429992959;0;63;0;9;74426;FAŁSZ;0;FAŁSZ;F;PhD;Doctor;11;Private;27600;1;SUV;FAŁSZ;0;0;FAŁSZ;0;0;18;FAŁSZ;Highly Urban/ Urban;1
84;160577728;0;44;0;9;74722;FAŁSZ;231034;PRAWDA;F;Bachelors;Professional;9;Private;23640;6;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;1
85;108385737;1;45;2;11;102393;PRAWDA;0;FAŁSZ;M;Bachelors;Professional;25;Private;1500;1;Minivan;PRAWDA;0;0;FAŁSZ;2;2371;11;PRAWDA;Highly Urban/ Urban;1
86;414142186;0;62;0;15;40656;FAŁSZ;208242;PRAWDA;F;High School;Clerical;57;Private;9170;4;Sports Car;FAŁSZ;42342;2;PRAWDA;2;4178;7;PRAWDA;Highly Urban/ Urban;1
87;421217157;0;48;0;0;0;FAŁSZ;98920;PRAWDA;F;High School;Home Maker;50;Private;8660;3;Sports Car;FAŁSZ;8363;2;FAŁSZ;3;0;9,6;FAŁSZ;Highly Urban/ Urban;0
88;935010485;1;37;2;12;32164,4;FAŁSZ;205211;PRAWDA;F;Bachelors;Blue Collar;43;Commercial;5200;1;SUV;FAŁSZ;2718;1;FAŁSZ;1;4804;3;PRAWDA;Highly Urban/ Urban;0
89;537840281;0;35;0;8,8;29371;FAŁSZ;0;FAŁSZ;F;<High School;Clerical;49;Private;4860;10;Sports Car;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;0
90;748139140;0;48;0;12;31773;FAŁSZ;165090;PRAWDA;M;High School;Clerical;14;Commercial;9640;13;Pickup;FAŁSZ;1212;1;FAŁSZ;4;1354;1;PRAWDA;Highly Urban/ Urban;1
91;601118153;0;39;0;11;33727;FAŁSZ;0;FAŁSZ;F;Bachelors;Clerical;27;Private;10850;1;SUV;FAŁSZ;8350;1;FAŁSZ;2;0;12;FAŁSZ;Highly Urban/ Urban;1
92;808304017;0;49;0;0;0;FAŁSZ;159389;PRAWDA;F;Masters;Professional;42;Private;6400;10;SUV;FAŁSZ;9115;1;FAŁSZ;6;0;14;FAŁSZ;Highly Urban/ Urban;1
93;803325269;0;44;2;15;139330;PRAWDA;316900;FAŁSZ;F;High School;Blue Collar;35;Commercial;22050;10;Sports Car;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Rural/ Rural;1
94;701235200;0;50;0;13;163296;FAŁSZ;447616;FAŁSZ;F;PhD;Lawyer;42;Private;22830;1;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;14;FAŁSZ;Highly Rural/ Rural;1
95;916609661;0;30;1;10;17455;PRAWDA;140978;FAŁSZ;F;<High School;Blue Collar;50;Private;12380;13;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;6;FAŁSZ;Highly Rural/ Rural;1
96;469714824;0;54;0;11,8;71007;FAŁSZ;240833;PRAWDA;M;Bachelors;Manager;61;Private;14000;6;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;11;FAŁSZ;Highly Urban/ Urban;0
97;46606719;0;38;0;0;0;FAŁSZ;0;PRAWDA;M;High School;Student;41;Commercial;17470;10;Van;FAŁSZ;3157;2;FAŁSZ;5;0;6;FAŁSZ;Highly Rural/ Rural;1
98;454040458;0;53;0;6;38036;FAŁSZ;153381;PRAWDA;F;High School;Blue Collar;32;Commercial;13140;1;SUV;FAŁSZ;0;0;FAŁSZ;4;2425;1;PRAWDA;Highly Urban/ Urban;1
99;951246359;0;53;0;13;41199;FAŁSZ;150933;FAŁSZ;F;Bachelors;Manager;21;Private;15360;1;SUV;FAŁSZ;0;0;FAŁSZ;0;0;8;FAŁSZ;Highly Urban/ Urban;1
100;389315422;0;29;1;10;38042;PRAWDA;202967;FAŁSZ;M;High School;Professional;15;Private;15160;6;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;1
101;180660768;0;58;0;11;91223;FAŁSZ;0;FAŁSZ;M;Masters;Lawyer;23;Private;10620;6;Pickup;FAŁSZ;0;0;FAŁSZ;0;0;3,8;FAŁSZ;Highly Urban/ Urban;0
102;184578161;0;55;0;7;45787;FAŁSZ;173196;PRAWDA;F;Masters;Lawyer;5;Private;19380;6;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;13;FAŁSZ;Highly Urban/ Urban;1
103;59798468;0;55;0;12,2;84964;FAŁSZ;227091;PRAWDA;M;Bachelors;Blue Collar;21;Commercial;5760;1;Pickup;PRAWDA;969;2;FAŁSZ;6;0;11;FAŁSZ;Highly Urban/ Urban;0
104;957817015;0;56;0;8;38240;FAŁSZ;190675;PRAWDA;F;High School;Clerical;28;Private;16220;4;SUV;FAŁSZ;0;0;FAŁSZ;0;0;5,2;FAŁSZ;Highly Rural/ Rural;0
105;402443529;0;39;2;0;0;FAŁSZ;69369;PRAWDA;F;High School;Home Maker;36;Private;8750;4;Sports Car;FAŁSZ;0;0;FAŁSZ;0;0;8;FAŁSZ;Highly Urban/ Urban;1
106;298667574;2;44;2;13;142588;FAŁSZ;365256;PRAWDA;M;Masters;Manager;28;Private;21790;6;Minivan;PRAWDA;0;0;FAŁSZ;2;0;9;FAŁSZ;Highly Urban/ Urban;1
107;303462460;0;34;0;11;51565;FAŁSZ;0;FAŁSZ;M;Masters;Lawyer;36;Private;18110;1;Van;PRAWDA;759;2;FAŁSZ;3;0;15;FAŁSZ;Highly Urban/ Urban;1
108;629946797;0;34;3;0;0;FAŁSZ;66358;PRAWDA;F;High School;Home Maker;25;Private;11740;9;SUV;FAŁSZ;1800;2;FAŁSZ;2;5711;1;PRAWDA;Highly Urban/ Urban;1
109;783473090;0;36;0;11;105384;FAŁSZ;267509;PRAWDA;M;Masters;Professional;24;Private;13800;7;Minivan;PRAWDA;31695;3;PRAWDA;4;0;17;FAŁSZ;Highly Urban/ Urban;1
110;8565171;0;41;0;10;66265;FAŁSZ;159276;PRAWDA;M;Masters;Lawyer;59;Private;12230;4;Minivan;PRAWDA;0;0;FAŁSZ;1;13105;9;PRAWDA;Highly Urban/ Urban;1
111;950995873;0;46;0;7;69409,8;FAŁSZ;148438,2;FAŁSZ;M;Masters;Professional;17;Commercial;23350;13;Panel Truck;PRAWDA;4678;3;FAŁSZ;6;4061;17;PRAWDA;Highly Urban/ Urban;0
112;867703916;0;45;0;12;32394;FAŁSZ;0;FAŁSZ;F;High School;Clerical;33;Private;13770;4;SUV;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;1
113;593582812;0;42;0;9;76226;FAŁSZ;217920;PRAWDA;M;Bachelors;Blue Collar;18;Commercial;23390;13;Panel Truck;PRAWDA;0;0;FAŁSZ;0;0;14;FAŁSZ;Highly Urban/ Urban;1
114;22340563;1;38;3;16;7528;FAŁSZ;113809;PRAWDA;M;<High School;Clerical;26;Private;8080;1;Pickup;PRAWDA;0;0;FAŁSZ;0;0;8;FAŁSZ;Highly Rural/ Rural;1
115;679555193;0;33;4;0;0;PRAWDA;0;FAŁSZ;M;High School;Student;14;Commercial;15090;1;Minivan;PRAWDA;1631;1;FAŁSZ;2;7838;5;PRAWDA;Highly Urban/ Urban;1
116;161607403;0;37;0;0;51254,8;FAŁSZ;73890;PRAWDA;F;Bachelors;Student;48;Commercial;12850;7;SUV;FAŁSZ;0;0;FAŁSZ;3;3660;6;PRAWDA;Highly Urban/ Urban;0
117;700623278;1;42;1;9;32797;FAŁSZ;160661;PRAWDA;F;Masters;Lawyer;63;Private;21690;1;Minivan;FAŁSZ;0;0;FAŁSZ;2;0;14;FAŁSZ;Highly Urban/ Urban;1
118;755810990;0;47;0;11;44705;FAŁSZ;217885;PRAWDA;F;Bachelors;Professional;50;Private;12840;1;SUV;FAŁSZ;1533;2;FAŁSZ;0;5125;10;PRAWDA;Highly Urban/ Urban;1
119;464090162;0;43;1;0;0;FAŁSZ;70170;PRAWDA;F;Bachelors;Home Maker;26;Private;8350;1;SUV;FAŁSZ;0;0;FAŁSZ;3;0;7;FAŁSZ;Highly Urban/ Urban;1
120;170483243;0;52;0;9;68992;FAŁSZ;216986;FAŁSZ;F;Bachelors;Blue Collar;36;Commercial;15120;1;Minivan;FAŁSZ;0;0;FAŁSZ;3;0;10;FAŁSZ;Highly Rural/ Rural;1
121;421316364;0;43;0;11;132561;FAŁSZ;314433;FAŁSZ;M;Masters;Professional;8;Commercial;30150;16;Panel Truck;FAŁSZ;12294;1;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;1
122;505563410;0;64;0;15;31738;FAŁSZ;197010;PRAWDA;M;<High School;Blue Collar;23;Commercial;14620;6;SUV;FAŁSZ;3994;2;FAŁSZ;0;5085;1;PRAWDA;Highly Urban/ Urban;1
